ID,Caption,CUIs,CUI_caption,keywords
ROCOv2_2023_train_000001,Head CT demonstrating left parotiditis.,C0040405,X-Ray Computed Tomography,"X-ray, Parotid gland, View from side, Left parotitis."
ROCOv2_2023_train_000006,5.1 cm x 3.4 cm x 4 cm multiloculated hepatic abscess in the inferior posterior aspect of the right lobe,C0040405,X-Ray Computed Tomography,"Computed Tomography, Liver, Side, Multiloculated Abscess."
ROCOv2_2023_train_000010,Preop CT showing left orbital floor fracture,C0040405,X-Ray Computed Tomography,"X-ray, Orbit, Floor of orbit from side, Fracture."
ROCOv2_2023_train_000011,Postop 22-month CT scan (sagittal): Posteriorly the graft seated in a sound bone,C0040405,X-Ray Computed Tomography,"X-ray, Spine, Sagittal View, Normal"
ROCOv2_2023_train_000015,CT demonstrating partially obstructed airway.CT: computed tomography.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Airway, Partially Obstructed View, Partially Obstructed."
ROCOv2_2023_train_000017,Strawberry skull.,C0041618;C0037303,Ultrasonography;Bone structure of cranium,"Strawberry skull. X-ray, Skull, Side, Normal."
ROCOv2_2023_train_000029,Coronal view of the intra-nasal foreign body.,C0040405,X-Ray Computed Tomography,"X-ray, Nasal Cavity, Coronal View of Intra-Nasal Foreign Body, Normal"
ROCOv2_2023_train_000032,Chest radiograph showing reticular opacities prominent in bilateral mid and lower zones.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior View of Image, Reticular Opacities in Bilateral Mid and Lower Zones."
ROCOv2_2023_train_000034,Follow up chest radiograph after 4 weeks showing radiological resolution.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000039,"Abdominal CT. After enhancement, abdominal CT shows a small low-density lesion in the seventh segment of the liver (black arrow)",C0040405;C0023884,X-Ray Computed Tomography;Liver,"Computed Tomography, Liver, Seventh Segment, Normal"
ROCOv2_2023_train_000041,Chest X-ray showing bilateral clavicular hypoplasia.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Bilateral Clavicular Hypoplasia."
ROCOv2_2023_train_000046,CT of the abdomen showing hepatomegaly,C0040405;C0000726,X-Ray Computed Tomography;Abdomen,"Computed Tomography, Abdomen, X-ray of Abdomen from Side, Hepatomegaly."
ROCOv2_2023_train_000049,FB (cutlery handle) in the DII,C1306645;C0000726;C1996865,Plain x-ray;Abdomen;Postero-Anterior,"X-ray, Abdomen, Postero-anterior view, Normal"
ROCOv2_2023_train_000051,Abdominal computed tomography shows an enterolith (white arrow) measuring 3 cm in the proximal afferent loop.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Side View, Enterolith."
ROCOv2_2023_train_000071,OPG showing cystic lesion.,C1306645;C0037303;C0205207,Plain x-ray;Bone structure of cranium;Cystic,"Computed Tomography, Skull, Inside, Cystic lesion."
ROCOv2_2023_train_000072,CT scan showing lesion in right hemimandible.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Mandible, Right side, Lesion"
ROCOv2_2023_train_000075,X-ray hip. Crescent sign. Arrows showing the hypointense crescent.(Courtesy  ,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Hip, Anterior-Posterior View, Normal"
ROCOv2_2023_train_000091,Chest X-ray showing no evidence of acute lung pathology.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000099,"Upper abdominal CT examination in a patient approximately three months after bariatric gastric bypass, performed for upper abdominal pain. There are abnormal liver appearances with multiple small well defined areas of low attenuation (long arrows) together with a larger more confluent area with a typical ‘geographical’ appearance peripherally in the right lobe (short arrows). These changes were due to patchy fatty infiltration.",C0040405;C0023884,X-Ray Computed Tomography;Liver,"Computed Tomography, Liver, Upper abdominal, Patchy fatty infiltration."
ROCOv2_2023_train_000100,Upper GI contrast study after gastric banding showing rapid transit past the band (arrows) indicating that it is too loose.,C0002978,angiogram,"X-ray, Abdomen, Upper GI study from side, Normal."
ROCOv2_2023_train_000101,Lateral cephalogram of the patient.,C1306645;C0037303;C0205129,Plain x-ray;Bone structure of cranium;Sagittal,"X-ray, Cranium, Sagittal, Normal"
ROCOv2_2023_train_000108,Chest radiograph demonstrating a right-sided apical cavitary lesion (yellow arrow) and a chemotherapy port (blue arrow).,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-anterior, Right-sided apical cavitary lesion"
ROCOv2_2023_train_000123,Chest X-ray at day of admission.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000124,CT chest on presentation.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Chest, Front View, Normal."
ROCOv2_2023_train_000125,Determination of the Heart Size on the Standard PA CXR,C1306645;C0817096;C1996865;C0018787,Plain x-ray;Chest;Postero-Anterior;Heart,"Plain X-ray, Chest, Posterior View, Normal."
ROCOv2_2023_train_000127,Well-defined solid homogeneous mediastinal mass in chest CT scan of case 1.,C0040405,X-Ray Computed Tomography,"X-ray, Chest, Front View, Normal"
